group_number,1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,
well_value,A-C1,A-C2,A-C3,A-C4,A-C5,A-C6,A-C7,A-C8,A-C9,A-C10,A-C11,A-C12,D-F1
crab_number,10,70,80,20,50,60,30,90,100,40,69,67,control
1_0,1182,1207,1216,1228,1236,1282,1289,1306,1313,1309,1291,1300,1256
1_30,2899,3866,5629,2926,6497,2576,4875,5218,2287,5402,6255,6840,1217
1_60,4615,7014,10149,4759,11343,4054,7859,9569,3282,9175,9190,13269,1268
2_0,,,,,,,,,,,,,
2_30,,,,,,,,,,,,,
2_60,,,,,,,,,,,,,
3_0,,,,,,,,,,,,,
3_30,,,,,,,,,,,,,
3_60,,,,,,,,,,,,,
,,,,,,,,,,,,,
week_time,,,,,,,,,,,,,
