week,crab,respiration
1,1_1,1182
1,1_1,2899
1,1_1,4615
1,1_2,1207
1,1_2,3866
1,1_2,7014
1,1_3,1216
1,1_3,5629
1,1_3,10149
1,2_1,1228
1,2_1,2926
1,2_1,4759
1,2_2,1236
1,2_2,6497
1,2_2,11343
1,2_3,1282
1,2_3,2576
1,2_3,4054
1,3_1,1289
1,3_1,4875
1,3_1,7859
1,3_2,1306
1,3_2,5218
1,3_2,9569
1,3_3,1313
1,3_3,2287
1,3_3,3282
1,4_1,1309
1,4_1,5402
1,4_1,9175
1,4_2,1291
1,4_2,6255
1,4_2,9190
1,4_3,1300
1,4_3,6840
1,4_3,13269
1,control,1256
1,control,1217
1,control,1268
2,1_1,880
2,1_1,3384
2,1_1,6826
3,1_1,741
3,1_1,2813
3,1_1,4809
2,1_2,928
2,1_2,3793
2,1_2,6370
3,1_2,782
3,1_2,5552
3,1_2,9466
2,1_3,916
2,1_3,5317
2,1_3,10104
2,2_1,916
2,2_1,3778
2,2_1,7420
3,2_1,764
3,2_1,2499
3,2_1,4940
2,2_4,941
2,2_4,1416
2,2_4,1868
3,2_4,788
3,2_4,1552
3,2_4,2528
2,2_3,953
2,2_3,4340
2,2_3,8168
3,2_3,790
3,2_3,2558
3,2_3,4387
2,3_1,947
2,3_1,2164
2,3_1,3514
2,3_2,966
2,3_2,1937
2,3_2,2921
3,3_2,791
3,3_2,1716
3,3_2,2731
2,3_3,950
2,3_3,1167
2,3_3,1687
3,3_3,768
3,3_3,1046
3,3_3,1626
2,4_1,977
2,4_1,2535
2,4_1,4310
3,4_1,764
3,4_1,1701
3,4_1,2484
2,4_2,1285
2,4_2,2539
2,4_2,4184
3,4_2,753
3,4_2,1623
3,4_2,2435
2,4_4,927
2,4_4,3635
2,4_4,6233
3,4_4,706
3,4_4,1880
3,4_4,2987
2,control,931
2,control,978
2,control,968
3,control,778
3,control,756
3,control,750
