562

Well,562
A1,0.426
B1,0.877
C1,0.269
D1,0.099
E1,0.105
F1,0.117
G1,0.119
H1,0.107
A2,3.961
B2,3.817
C2,0.544
D2,0.469
E2,0.047
F2,0.045
G2,0.043
H2,0.045
A3,3.654
B3,3.627
C3,0.411
D3,0.475
E3,0.046
F3,0.046
G3,0.046
H3,0.046
A4,3.320
B4,2.402
C4,0.406
D4,0.317
E4,0.046
F4,0.048
G4,0.046
H4,0.047
A5,3.760
B5,OVRFLW
C5,0.528
D5,0.609
E5,0.046
F5,0.044
G5,0.046
H5,0.045
A6,OVRFLW
B6,3.848
C6,0.623
D6,0.459
E6,0.049
F6,0.046
G6,0.045
H6,0.047
A7,3.982
B7,3.777
C7,0.556
D7,0.487
E7,0.493
F7,0.635
G7,0.645
H7,0.400
A8,3.912
B8,OVRFLW
C8,0.478
D8,0.586
E8,0.305
F8,0.305
G8,0.308
H8,1.098
A9,3.922
B9,2.702
C9,0.530
D9,0.343
E9,0.653
F9,0.527
G9,0.559
H9,0.597
A10,OVRFLW
B10,OVRFLW
C10,0.588
D10,0.591
E10,3.616
F10,OVRFLW
G10,OVRFLW
H10,2.974
A11,0.895
B11,3.664
C11,0.154
D11,0.486
E11,2.001
F11,1.980
G11,3.095
H11,3.878
A12,3.963
B12,0.046
C12,0.551
D12,0.047
E12,OVRFLW
F12,3.126
G12,OVRFLW
H12,OVRFLW

