562

Well,562
A1,0.383
B1,0.772
C1,0.245
D1,0.094
E1,0.099
F1,0.110
G1,0.107
H1,0.102
A2,OVRFLW
B2,3.916
C2,0.046
D2,0.046
E2,0.047
F2,0.047
G2,0.043
H2,0.046
A3,3.797
B3,3.865
C3,0.047
D3,0.046
E3,0.047
F3,0.047
G3,0.048
H3,0.047
A4,3.471
B4,2.434
C4,0.048
D4,0.047
E4,0.047
F4,0.049
G4,0.048
H4,0.048
A5,3.999
B5,OVRFLW
C5,0.047
D5,0.047
E5,0.047
F5,0.045
G5,0.047
H5,0.046
A6,OVRFLW
B6,OVRFLW
C6,0.047
D6,0.048
E6,0.050
F6,0.048
G6,0.047
H6,0.048
A7,OVRFLW
B7,3.920
C7,0.047
D7,0.047
E7,0.046
F7,0.049
G7,0.053
H7,0.048
A8,3.970
B8,OVRFLW
C8,0.046
D8,0.048
E8,0.046
F8,0.053
G8,0.047
H8,0.048
A9,OVRFLW
B9,2.869
C9,0.047
D9,0.047
E9,0.047
F9,0.049
G9,0.049
H9,0.047
A10,OVRFLW
B10,OVRFLW
C10,0.047
D10,0.047
E10,3.697
F10,OVRFLW
G10,OVRFLW
H10,3.097
A11,0.911
B11,3.853
C11,0.050
D11,0.047
E11,2.035
F11,2.041
G11,3.041
H11,OVRFLW
A12,OVRFLW
B12,0.048
C12,0.049
D12,0.049
E12,OVRFLW
F12,3.423
G12,OVRFLW
H12,OVRFLW

